Department,Sub Department,Sub Department URL
Toys,Musical Instruments & Karaoke,https://www.walmart.com/browse?cat_id=4171_1015079
Toys,Remote Control & Play Vehicles,https://www.walmart.com/browse?cat_id=4171_1111647
Toys,Learning Toys,https://www.walmart.com/browse?cat_id=4171_56125
Toys,Outdoor Play,https://www.walmart.com/browse?cat_id=4171_14521
Toys,Dolls & Dollhouses,https://www.walmart.com/browse?cat_id=4171_4187
Toys,Action Figures,https://www.walmart.com/browse?cat_id=4171_4172
Toys,Games & Puzzles,https://www.walmart.com/browse?cat_id=4171_4191
Toys,Arts & Crafts for Kids,https://www.walmart.com/browse?cat_id=4171_645779
Toys,Building Sets & Blocks,https://www.walmart.com/browse?cat_id=4171_4186
Toys,Chosen by Kids,https://www.walmart.com/browse?cat_id=4171_1228385
Toys,Electronics for Kids,https://www.walmart.com/browse?cat_id=4171_1096069
Toys,Kids' Bikes & Riding Toys,https://www.walmart.com/browse?cat_id=4171_133073
Toys,Preschool Toys,https://www.walmart.com/browse?cat_id=4171_1077545
Toys,Pretend Play & Dress Up,https://www.walmart.com/browse?cat_id=4171_4173
Photo Center,Frames,https://www.walmart.com/browse?cat_id=5426_672579
Photo Center,All Cameras,https://www.walmart.com/browse?cat_id=5426_4468
Photo Center,Photo Products,https://www.walmart.com/browse?cat_id=5426_531183
Photo Center,Digital Photo Frames,https://www.walmart.com/browse?cat_id=5426_164092
Pets,Dogs,https://www.walmart.com/browse?cat_id=5440_202072
Pets,Fish,https://www.walmart.com/browse?cat_id=5440_202074
Pets,Cats,https://www.walmart.com/browse?cat_id=5440_202073
Pets,Pet Food,https://www.walmart.com/browse?cat_id=5440_1075304
Pets,Horses & Farm Animals,https://www.walmart.com/browse?cat_id=5440_1092244
Pets,Birds,https://www.walmart.com/browse?cat_id=5440_228734
Pets,Pet Rx,https://www.walmart.com/browse?cat_id=5440_1101364
Pets,Pet Stain & Odor Remover,https://www.walmart.com/browse?cat_id=5440_5578462
Pets,Pet Steps & Ramps,https://www.walmart.com/browse?cat_id=5440_1086272
Pets,Pet Travel Accessories,https://www.walmart.com/browse?cat_id=5440_202088
Pets,Reptiles & Amphibians,https://www.walmart.com/browse?cat_id=5440_1043917
Pets,Small Animals,https://www.walmart.com/browse?cat_id=5440_1001299
Video Games,Video Game Accessories,https://www.walmart.com/browse?cat_id=2636_1229019
Video Games,Video Game Accessories,https://www.walmart.com/browse?cat_id=2636_1040581
Video Games,Video Game Titles,https://www.walmart.com/browse?cat_id=2636_1040579
Video Games,Xbox One,https://www.walmart.com/browse?cat_id=2636_1224908
Video Games,Xbox 360,https://www.walmart.com/browse?cat_id=2636_482412
Video Games,PlayStation 4,https://www.walmart.com/browse?cat_id=2636_1102672
Video Games,PlayStation 3,https://www.walmart.com/browse?cat_id=2636_413799
Video Games,Call of Duty,https://www.walmart.com/browse?cat_id=2636_1086005
Video Games,Fallout,https://www.walmart.com/browse?cat_id=2636_4327171
Video Games,FIFA 17,https://www.walmart.com/browse?cat_id=2636_8715992
Video Games,Final Fantasy Video Games,https://www.walmart.com/browse?cat_id=2636_4751589
Video Games,Forza Motorsport,https://www.walmart.com/browse?cat_id=2636_3106428
Video Games,Gaming Gift Cards,https://www.walmart.com/browse?cat_id=2636_1228600
Video Games,Grand Theft Auto,https://www.walmart.com/browse?cat_id=2636_6919094
Video Games,Kids and Family Games,https://www.walmart.com/browse?cat_id=2636_1089666
Video Games,Lego Video Games,https://www.walmart.com/browse?cat_id=2636_1263469
Video Games,Madden 17,https://www.walmart.com/browse?cat_id=2636_7698300
Video Games,Minecraft Video Games,https://www.walmart.com/browse?cat_id=2636_1375588
Video Games,NBA 2K17,https://www.walmart.com/browse?cat_id=2636_4163072
Video Games,Nintendo 3DS / 2DS / DS / DSi,https://www.walmart.com/browse?cat_id=2636_1086580
Video Games,Nintendo Amiibo,https://www.walmart.com/browse?cat_id=2636_1229574
Video Games,Nintendo NES Classic,https://www.walmart.com/browse?cat_id=2636_7054994
Video Games,Nintendo Switch,https://www.walmart.com/browse?cat_id=2636_4646529
Video Games,Nintendo Wii U / Wii,https://www.walmart.com/browse?cat_id=2636_1098124
Video Games,PC & Digital Gaming,https://www.walmart.com/browse?cat_id=2636_1077504
Video Games,PlayStation TV/ Vita,https://www.walmart.com/browse?cat_id=2636_1091824
Video Games,Skylanders,https://www.walmart.com/browse?cat_id=2636_1093225
Video Games,Star Wars Video Games,https://www.walmart.com/browse?cat_id=2636_3324173
Video Games,Super Mario Video Games,https://www.walmart.com/browse?cat_id=2636_1512800
Video Games,The Sims Video Games,https://www.walmart.com/browse?cat_id=2636_8954619
Video Games,Titanfall,https://www.walmart.com/browse?cat_id=2636_5944325
Video Games,Used Video Games,https://www.walmart.com/browse?cat_id=2636_1056224
Video Games,Video Game Consoles,https://www.walmart.com/browse?cat_id=2636_1040580
Video Games,Video Game Value Bundles,https://www.walmart.com/browse?cat_id=2636_1092764
Video Games,Video Games Strategy Guides,https://www.walmart.com/browse?cat_id=2636_582506
Video Games,Virtual Reality,https://www.walmart.com/browse?cat_id=2636_5454301
Video Games,Xbox One S Console,https://www.walmart.com/browse?cat_id=2636_8455767
Pharmacy,Pet Medications,https://www.walmart.com/browse?cat_id=5431_1095032
Home,Decor,https://www.walmart.com/browse?cat_id=4044_133012
Home,Kitchen & Dining,https://www.walmart.com/browse?cat_id=4044_623679
Home,Furniture,https://www.walmart.com/browse?cat_id=4044_103150
Home,Appliances,https://www.walmart.com/browse?cat_id=4044_90548
Home,Bedding,https://www.walmart.com/browse?cat_id=4044_539103
Home,Storage & Organization,https://www.walmart.com/browse?cat_id=4044_90828
Home,Featured Shops,https://www.walmart.com/browse?cat_id=4044_1225301
Home,Bath,https://www.walmart.com/browse?cat_id=4044_539095
Home,College Dorm Living,https://www.walmart.com/browse?cat_id=4044_1225229
Home,Kids' Rooms,https://www.walmart.com/browse?cat_id=4044_1154295
Home,Luggage,https://www.walmart.com/browse?cat_id=4044_444253
Home,Mattresses & Accessories,https://www.walmart.com/browse?cat_id=4044_539386
Home,Personalized Gifts,https://www.walmart.com/browse?cat_id=4044_133224
Home,Teens' Rooms,https://www.walmart.com/browse?cat_id=4044_1156136
Sports & Outdoors,Outdoor Sports,https://www.walmart.com/browse?cat_id=4125_546956
Sports & Outdoors,Sports Fan Shop,https://www.walmart.com/browse?cat_id=4125_1063984
Sports & Outdoors,Exercise & Fitness,https://www.walmart.com/browse?cat_id=4125_4134
Sports & Outdoors,Recreation,https://www.walmart.com/browse?cat_id=4125_1224931
Sports & Outdoors,Team Sports,https://www.walmart.com/browse?cat_id=4125_4161
Sports & Outdoors,Basketball,https://www.walmart.com/browse?cat_id=4125_4165
Seasonal,Back To Class,https://www.walmart.com/browse?cat_id=1085632_1230848
Seasonal,Back to School,https://www.walmart.com/browse?cat_id=1085632_1071204
Seasonal,College Living,https://www.walmart.com/browse?cat_id=1085632_1093705
Seasonal,Cold & Flu Solutions,https://www.walmart.com/browse?cat_id=1085632_1097930
Seasonal,Star Wars,https://www.walmart.com/browse?cat_id=1085632_1229472
Seasonal,Avengers,https://www.walmart.com/browse?cat_id=1085632_1229464
Seasonal,Disney Frozen,https://www.walmart.com/browse?cat_id=1085632_1225661
Seasonal,Back to School Top Items,https://www.walmart.com/browse?cat_id=1085632_1230123
Seasonal,Character Corner,https://www.walmart.com/browse?cat_id=1085632_1098784
Seasonal,Chosen by Kids,https://www.walmart.com/browse?cat_id=1085632_1228386
Seasonal,Jurassic Park,https://www.walmart.com/browse?cat_id=1085632_1229470
Seasonal,Minions,https://www.walmart.com/browse?cat_id=1085632_1105934
Seasonal,Transformers Age of Extinction,https://www.walmart.com/browse?cat_id=1085632_1225645
Seasonal,Women Owned Businesses,https://www.walmart.com/browse?cat_id=1085632_1094926
Seasonal,WWE,https://www.walmart.com/browse?cat_id=1085632_1228561
Health,Personal Care,https://www.walmart.com/browse?cat_id=976760_1005862
Health,Medicine Cabinet,https://www.walmart.com/browse?cat_id=976760_976798
Health,Vitamins,https://www.walmart.com/browse?cat_id=976760_1005863
Health,Walmart Vision Centers,https://www.walmart.com/browse?cat_id=976760_1078944
Health,Home Health Care,https://www.walmart.com/browse?cat_id=976760_1005860
Health,Massagers & Spa,https://www.walmart.com/browse?cat_id=976760_36290
Health,Diet & Nutrition,https://www.walmart.com/browse?cat_id=976760_1005859
Health,Diabetes Shop,https://www.walmart.com/browse?cat_id=976760_1231757
Health,Energy & Endurance,https://www.walmart.com/browse?cat_id=976760_6915711
Health,Heart Health,https://www.walmart.com/browse?cat_id=976760_1172220
Health,Sports Nutrition,https://www.walmart.com/browse?cat_id=976760_1166769
Musical Instruments,DJ Equipment,https://www.walmart.com/browse?cat_id=7796869_1097690
Musical Instruments,Guitars & Guitar Accessories,https://www.walmart.com/browse?cat_id=7796869_1097870
Musical Instruments,Drums & Percussion,https://www.walmart.com/browse?cat_id=7796869_1097852
Musical Instruments,Muscial Instrument Accessories,https://www.walmart.com/browse?cat_id=7796869_3297174
Musical Instruments,Band & Orchestra,https://www.walmart.com/browse?cat_id=7796869_1097884
Musical Instruments,Microphones & Headphones,https://www.walmart.com/browse?cat_id=7796869_133194
Musical Instruments,Band Instruments,https://www.walmart.com/browse?cat_id=7796869_106987
Musical Instruments,Accordians & Concertinas,https://www.walmart.com/browse?cat_id=7796869_1120714
Musical Instruments,Folk & World Instruments,https://www.walmart.com/browse?cat_id=7796869_1097866
Musical Instruments,Karaoke Machines & Equipment,https://www.walmart.com/browse?cat_id=7796869_106984
Musical Instruments,Keyboards & Accessories,https://www.walmart.com/browse?cat_id=7796869_1128453
Musical Instruments,Megaphones,https://www.walmart.com/browse?cat_id=7796869_1133473
Musical Instruments,Musical Instruction,https://www.walmart.com/browse?cat_id=7796869_1097895
Movies & TV,Movies,https://www.walmart.com/browse?cat_id=4096_530598
Movies & TV,Instant Video Streaming by Vudu,https://www.walmart.com/browse?cat_id=4096_1084447
Movies & TV,TV Shows,https://www.walmart.com/browse?cat_id=4096_530719
Movies & TV,Blu-ray,https://www.walmart.com/browse?cat_id=4096_616859
Movies & TV,Instawatch,https://www.walmart.com/browse?cat_id=4096_1228693
Movies & TV,Disney,https://www.walmart.com/browse?cat_id=4096_1106153
Movies & TV,Walmart Exclusives,https://www.walmart.com/browse?cat_id=4096_1095777
Movies & TV,4k Resolution,https://www.walmart.com/browse?cat_id=4096_1172214
Movies & TV,Alvin 3 Movie Cash Triple Play Promotion,https://www.walmart.com/browse?cat_id=4096_1090207
Movies & TV,Blu-ray,https://www.walmart.com/browse?cat_id=4096_1164697
Movies & TV,Complete Series,https://www.walmart.com/browse?cat_id=4096_1157352
Movies & TV,Complete Series Box Sets & Collections,https://www.walmart.com/browse?cat_id=4096_1088549
Movies & TV,Disney Deals,https://www.walmart.com/browse?cat_id=4096_1161944
Movies & TV,Disney Junior,https://www.walmart.com/browse?cat_id=4096_1106156
Movies & TV,Featured Titles,https://www.walmart.com/browse?cat_id=4096_1095778
Movies & TV,Frozen,https://www.walmart.com/browse?cat_id=4096_1101662
Movies & TV,HBO,https://www.walmart.com/browse?cat_id=4096_1094890
Movies & TV,Jurassic Park - Movies,https://www.walmart.com/browse?cat_id=4096_1229471
Movies & TV,Limited Editions,https://www.walmart.com/browse?cat_id=4096_1107113
Movies & TV,Midnight In Paris,https://www.walmart.com/browse?cat_id=4096_1092587
Movies & TV,Star Wars,https://www.walmart.com/browse?cat_id=4096_1097335
Movies & TV,Star Wars - Movies,https://www.walmart.com/browse?cat_id=4096_1229475
Movies & TV,Top Family Favorites,https://www.walmart.com/browse?cat_id=4096_1099945
Movies & TV,TV Shows,https://www.walmart.com/browse?cat_id=4096_1106655
Movies & TV,Under $5,https://www.walmart.com/browse?cat_id=4096_1102661
Music,Rock,https://www.walmart.com/browse?cat_id=4104_4118
Music,Classical,https://www.walmart.com/browse?cat_id=4104_4108
Music,Jazz,https://www.walmart.com/browse?cat_id=4104_4112
Music,World / Reggae,https://www.walmart.com/browse?cat_id=4104_4124
Music,Pop,https://www.walmart.com/browse?cat_id=4104_4115
Music,Vinyl,https://www.walmart.com/browse?cat_id=4104_1205481
Music,Dance / DJ,https://www.walmart.com/browse?cat_id=4104_4110
Music,Apple Music,https://www.walmart.com/browse?cat_id=4104_1358190
Music,Blues,https://www.walmart.com/browse?cat_id=4104_4105
Music,Children's Music,https://www.walmart.com/browse?cat_id=4104_4106
Music,Christian / Gospel,https://www.walmart.com/browse?cat_id=4104_4107
Music,Country,https://www.walmart.com/browse?cat_id=4104_4109
Music,Folk Music,https://www.walmart.com/browse?cat_id=4104_4111
Music,Gift cards,https://www.walmart.com/browse?cat_id=4104_9999353
Music,Latin,https://www.walmart.com/browse?cat_id=4104_4113
Music,Music DVD's,https://www.walmart.com/browse?cat_id=4104_538232
Music,New Age,https://www.walmart.com/browse?cat_id=4104_4114
Music,R&B / Soul,https://www.walmart.com/browse?cat_id=4104_4116
Music,Rap / Hip-Hop,https://www.walmart.com/browse?cat_id=4104_4117
Music,Soundtracks,https://www.walmart.com/browse?cat_id=4104_4119
Music,Special Interest,https://www.walmart.com/browse?cat_id=4104_4120
Patio & Garden,Gardening & Lawn Care,https://www.walmart.com/browse?cat_id=5428_4091
Patio & Garden,Patio & Outdoor Decor,https://www.walmart.com/browse?cat_id=5428_1102183
Patio & Garden,Patio Furniture,https://www.walmart.com/browse?cat_id=5428_91416
Patio & Garden,Outdoor Power Equipment,https://www.walmart.com/browse?cat_id=5428_1102182
Patio & Garden,Outdoor Lighting,https://www.walmart.com/browse?cat_id=5428_4423804
Patio & Garden,Grills & Outdoor Cooking,https://www.walmart.com/browse?cat_id=5428_4089
Patio & Garden,Rodeo Supplies,https://www.walmart.com/browse?cat_id=5428_4775074
Patio & Garden,Hot Tubs & Saunas,https://www.walmart.com/browse?cat_id=5428_105913
Patio & Garden,Patio & Garden Collections,https://www.walmart.com/browse?cat_id=5428_1218910
Patio & Garden,Sheds & Outdoor Storage,https://www.walmart.com/browse?cat_id=5428_8018905
Party & Occasions,Crafts,https://www.walmart.com/browse?cat_id=2637_667479
Party & Occasions,Party Supplies,https://www.walmart.com/browse?cat_id=2637_1042319
Party & Occasions,Christmas Decor,https://www.walmart.com/browse?cat_id=2637_633379
Party & Occasions,Halloween,https://www.walmart.com/browse?cat_id=2637_615760
Party & Occasions,All Costumes,https://www.walmart.com/browse?cat_id=2637_1088766
Party & Occasions,Wedding Shop,https://www.walmart.com/browse?cat_id=2637_112776
Party & Occasions,Judaica,https://www.walmart.com/browse?cat_id=2637_1102379
Party & Occasions,Hanukkah,https://www.walmart.com/browse?cat_id=2637_612339
Party & Occasions,Harvest,https://www.walmart.com/browse?cat_id=2637_1227918
Party & Occasions,Thanksgiving,https://www.walmart.com/browse?cat_id=2637_1111660
Household Essentials,Household Batteries,https://www.walmart.com/browse?cat_id=1115193_1076905
Household Essentials,Light Bulbs,https://www.walmart.com/browse?cat_id=1115193_1228347
Household Essentials,Cleaning Supplies,https://www.walmart.com/browse?cat_id=1115193_1071966
Household Essentials,Bathroom,https://www.walmart.com/browse?cat_id=1115193_1071965
Household Essentials,Paper & Plastic,https://www.walmart.com/browse?cat_id=1115193_1073264
Household Essentials,Kitchen,https://www.walmart.com/browse?cat_id=1115193_1071968
Household Essentials,Air Fresheners,https://www.walmart.com/browse?cat_id=1115193_1025739
Household Essentials,As Seen On TV,https://www.walmart.com/browse?cat_id=1115193_1111632
